reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,pos_review
A31MLYOLILAC5B,0783227361,Hotfoots on Fire,"[0, 0]",Alright Alright Alright This was my High school class and I knew several people like the characters in the film,5,Classic Stoner Film - Life in the late 70's,1374537600,"07 23, 2013",High school class several film 
A15Q9YEG1XPEJN,B000OVLBEO,Get What We Give,"[17, 28]",If Ghost Rider doesnt win a Razzy Award for Worst Picture of  then there is something wrong It is bad with a capital BGhost Rider completed filming back in  but it was shelved because the studio didnt believe the film was good enough to be released Apparently a lot of editing was done and a great deal of the film was scuttled resulting in the disaster that was presented in  Whenever a film sits gathering dust for that long you can be pretty certain that it is not going to be very goodNicolas Cage who looks like he has a  year olds head on a  year olds body absolutely chews up the scenery with such a bad acting job attempting to channel Elvis Presley In one scene he goes through some sort of Bad Acting  display as he dramatically and very slowly not in slow motion though raises his arm and points but doesnt use the single index finger that most of us would use and then utters the brilliantly scripted Yoooooooooooooooooooooou as he speaks to Peter Fonda who laughably plays the devilCage was never secretive about his desire to play this character Apparently he has been a fan of the comic for a long time He must have put up some of the money for the film because that can be the only explanation for the lousy performance Theres no reason for his character to speak like Elvis and he isnt consistent in delivering it that way eitherThe special effects are cool in some scenes but the battle scenes are really a let down Ive seen better in video games Even the transformation from man to Ghost Rider is not exciting It looks fake which Ill grant you is really misleading since no such creature exists However Marvel has done a great job with XMen and the Fantastic Four in creating films that incorporate the real world into their mythos That said the transformation should have been more dramatic and less drawn outCages rug is its own character And that brings to surface something really creepy about this film Cage playing the title character Never mind that hes about thirty years older than the character is supposed to be Never mind that he overacts so badly that you feel compelled to turn away from the screen Its the fact that he looks so very very old His face is craggy and his pores look huge He actually looks like he is ill his body ripped with sinewy muscle but his face drawn and sallowEva Mendes doesnt so much act as she moves around a bit and smiles and delivers a lineWes Bentley resurfaces from previously committing career suicide he insulted Harvey Weinstein of Miramax and threw prima donna tantrums on the set of The Four Feathers garnering Weinsteins wrath to the point of being exiled from A list filmsand plays one of the devils sons Blackheart Bentley once said he would never be caught dead in a special effects film because he was a serious actor Well hes right about one thing he is seriousseriously bad Bentley phones in his performance and seems about as menacing as a Chatty Cathy dollMaybe there were supposed to be better special effects added that never happened Maybe there was a better film that ended up on the cutting room floor Maybe there really is a man in the moon Who cares It doesnt matter about the maybes because the film that we see in this DVD is so bad that it should have remained on the shelf,1,Oh so very very bad that it is painful to watch!,1184198400,"07 12, 2007",doesnt then something wrong bad capital back studio didnt film good enough be Apparently lot great deal film disaster film dust long be pretty certain not be very goodNicolas Cage year olds head year body absolutely scenery bad job channel scene sort display dramatically very slowly not slow motion arm doesnt single index finger use then brilliantly laughably devilCage never secretive desire play character Apparently fan comic long time have money film be only explanation lousy performance reason character speak isnt consistent way special battle really let video Even transformation man not fake grant really misleading such creature However great job real world mythos transformation have dramatic drawn own character surface something really creepy film title character mind thirty character be mind so badly turn screen fact so very very old face craggy huge actually ill body sinewy muscle face drawn sallowEva so much act around bit lineWes previously career suicide donna set wrath point list filmsand once never be dead special film serious actor right thing seriousseriously bad performance as menacing dollMaybe be special never Maybe film up cutting room floor Maybe really man moon doesnt matter film so bad have shelf 
A26JGAM6GZMM4V,0792841409,Robert Morris,"[38, 42]",It has been almost  years since this antiwar film appeared one which was banned in France until  It is based on Humphrey Cobbs novel Directed by Stanley Kubrick and starring Kirk Douglas who also produced it the film examines a fictional but nonetheless wholly believable situation during World War One when French troops are ordered to achieve an impossible military objective Climb and secure the Ant Hill a heavilyfortified German position Of course the troops are decimated Whom to blame General Broulard Adolph Menjou who gave the order The troops general General Mireau George MacReady whose career ambitions overcame his doubts about the order The officer Colonel Dax who led the attack General Broulard gives a second order Select three of the survivors charge them with cowardice give them a perfunctory military trial and then execute them Their commanding officer is Colonel Dax Douglas who had been an attorney in civilian life He is ordered to be the defense counsel After the inevitable verdict the three representatives are executed by a firing squadKubrick presents all this on film as if it were a documentary of actual events Appropriately he filmed it in blackandwhite in part to dramatize the obvious juxtapositions of right and wrong good and evil justice and injustice etc The battlefield carnage is extensive but not gratuitous For me the insensitivity indeed inhumanity of the two generals  far removed from combat in luxurious comfort  is far more upsetting than the assault on the Ant Hill The men who followed orders and lost their lives or their limbs may have died in vain but at least died with honor if not glory Kubrick leaves absolutely no doubt about the generals who sent them into battle Colonel Dax understands the need for military discipline Orders must be followed He eventually realizes that no matter how logical and eloquent his defense the three men are doomed as were so many of their comrades were while climbing the Ant Hill Dax also realizes Broulard and Mireau will never be held accountable for the order nor for denying any responsibility for its tragic consequences Dante reserved the worst ring in hell for those who in a moral crisis preserved their neutrality Kubrick ensures that Menju and MacReady portray Broulard and Mireau not as neutral accomplices but as agents of evil a more dangerous adversary than the one their troops face in battleWith regard to Dax he did everything he could to save the three men He leaves absolutely no doubt in the minds of Generals Broulard and Mireau what he thinks of them both as officers and as human beings However they are his military superiors and the war continues after the executions I mention all this by way of suggesting a context for my opinion that the final scene in the cafe has a very important purpose to communicate Kubricks reassurance to those who see his film that even amidst wars death and mutilation the very best of human instincts somehow prevail They cannot be defeated by the Ant Hill nor by Broulard and Mireau and their obscene abuse of military justice In my opinion that is what Dax realizes in the cafe as he and other soldiers listen to a terrified girl sing And that is the final message which Kubrick seems determined to leave with his audience,5,Indictment of War...Affirmation of Humanity,1057017600,"07 1, 2003",almost antiwar film novel also film fictional nonetheless wholly believable situation French achieve impossible military objective secure heavilyfortified German position course blame order general career order officer attack second order cowardice perfunctory military trial then execute commanding officer attorney civilian life be defense counsel inevitable verdict firing squadKubrick film documentary actual Appropriately blackandwhite part dramatize obvious right wrong good evil justice injustice battlefield carnage extensive not gratuitous insensitivity indeed inhumanity far combat luxurious comfort far upsetting assault have vain died honor not glory absolutely doubt battle need military discipline be eventually matter logical eloquent defense so many also never be accountable order responsibility tragic ring hell moral crisis neutrality not neutral dangerous adversary battleWith regard everything save absolutely doubt human However military war way context opinion final scene cafe very important purpose communicate reassurance film even amidst death mutilation very human not be obscene abuse military justice opinion cafe other terrified girl sing final message leave audience 
A16VYBRMNPF69Q,B0001Z3TX4,Kicking back in New England,"[3, 3]",Ive read some of the reviews and have to disagree with them  this is a really sweet movie  Adam Sandlers character Henry is the typical luv em and leave em kind of guy before he meets Drew Barrymores character Lucy  Due to brain damage from a car accident a year earlier Lucy cant convert short term memory into long term memory  she keeps replaying the same day over and over  Henry is intrigued by this at first and tries each day to get Lucy to like him  After awhile though he truly starts to care for her and wants to help her move on with her life  Other characters  the friends from the bar and Lucys father  are super in how they protect her by replaying the same day over with her  Her brother is definitely doofy but easily ignored  This movie is a romance with a happy ending  Prepare to smile alot and maybe even cry a few tears,5,"A great ""love to smile"" movie - one for the ladies!",1096243200,"09 27, 2004",disagree really sweet movie character typical luv em kind guy character brain damage car accident year cant convert short term memory long term memory same day first day get like awhile truly care help move life Other bar father same day brother definitely doofy easily movie romance happy smile alot maybe even few 
A3LYFRATW68EX1,0783227388,will crow,"[0, 0]",john candys finest hour a film where he just simply puts all acting away lets us all see who he is and just how magnificent a person we shall all miss and love forever,5,finest hour,1402099200,"06 7, 2014",john candys hour film just simply just magnificent person love forever 
A2BIVNPP9EWM0A,1608838137,MML,"[0, 0]",I love British television  This is such a well made series that I cant wait for season   I missed season  so I will be watching it on Amazon Prime,5,Fantastic!,1379203200,"09 15, 2013",British television such well series wait season season be 
A35A8UHJUFSVSM,B002ZG99KO,sahar zabeti,"[0, 0]",If u like fantasy and u like to see the good guys win and have fun watching them get there then this is the movie for youWhat can I say I am still a kid at heartAnd I like movie scenes that make me sayAhhhhadorable,5,Kid at heart,1396396800,"04 2, 2014",u fantasy u see good get there then movie still kid heartAnd movie sayAhhhhadorable 
A3RKFHBRBAG79P,6303212379,"Graham Swearingen ""Graham1138""","[1, 1]",I preordered this off of Amazon Why it doesnt show that I purchased it is beyond me Anyhow the packaging is great I wish more movies got this kind of treatment for their BluRay release Ghostbusters Big Trouble In Little China and Die Hard really should have gotten this kind of treatment The box for the th anniversary of The Goonies is great the inside cover has the map to the treasure of One Eyed Willie there is a board game it comes with a press release kit recreation that was shrunk down and some other goodies The overall presentation of this is stellar They really couldnt have done a better job I have heard some complaints about the transfer but I think it looks borderline immaculate There is no DNR not too many soft edges no muddy images it looks sharp and crisp and retains a lot of the original film grain Theres a decent amount of special features and I am really glad I got this its well worth the price If you grew up with this movie and are a fan you need this Thankfully they still havent made a sequel to this like they have talked about Sequels suck folks If you dont believe me look at what those Hollywood Dougs did with Ghostbusters because Ghostbusters  is one of the worst sequels ever It completely undermines the first film which is a modern masterpiece of cinema and isnt a good movie in any way shape or form I just hope they dont try and squeeze more money out of the Goonies by making some crappy forced sequel This movie is one of the best ever made they wont ever make a better kids movie that plays up the magic that all kids movies should have without going too overboard You need to own this on BluRay,5,"One of my favorite movies, one of the best movies ever",1349827200,"10 10, 2012",off show packaging great kind treatment release really have kind treatment box th anniversary great inside cover map treasure board game press release kit recreation other overall presentation stellar really job transfer borderline immaculate not too many soft muddy sharp crisp lot original film grain decent amount special really glad well price movie fan still sequel believe look ever completely first film modern masterpiece cinema isnt good movie way shape form just try squeeze money crappy sequel movie ever ever movie magic have too overboard own 
A2VQXHXGYTBWXQ,078881172X,"Lynn C. Craven ""Real Bond Fan""","[0, 0]",When I was a child and first saw Peter Pan in the theaterI stayed to see it three times in a row,5,Best childhood movie memory,1364169600,"03 25, 2013",child first saw theaterI see row 
A2G1TJ83L8KY2X,B00D2UMHWO,Shallie,"[0, 0]",Another great workout from Leslie  This time she uses weights which is a first One part is cardio  and the other strength training  A great buy,5,LESLIE IS THE GREATEST,1402012800,"06 6, 2014",great workout time first part cardio other strength great buy 
A1V44USQTM2WX4,0307514161,Patsyzip,"[0, 0]",Our kids loved this and I wanted it on DVD for grandchildren Color sound everything is lovely A family favorite,5,From way back,1362441600,"03 5, 2013",sound everything lovely family favorite 
AP50P603W4BA7,B00005QZ7U,"Ms. H. Sinton ""dragondrums""","[2, 4]",I was dragged to the cinema by my son to see this film and thank heavens I was This is one of the best movies I have seen in a long time The style of this film is quirky in the extreme and the camera work can leave you dizzy but nevertheless this film has you gripped from the first frame to the last It is a basic love story centring on a courtesan Satine who falls for penniless writer Christian Meanwhile a rich English Duke is determined to possess Satine whatever the costMoulin Rouge is a vibrant kaleidoscope of colour and movement set to music that just shouldnt work but thanks to some really clever arranging it does The scene where Zidler and the Duke perform their version of Madonnas Like a Virgin is hilarious There are many wellknown songs throughout the film but all are given a new slant and performed in a unique wayThe main stars are Ewan McGregor and Nicole Kidman and there is an on screen chemistry between them that makes their characters relationship believable Whats more they can singnot something either was known for prior to this The evertalented Jim Broadbent stars as Zidler owner of the Moulin Rouge and Richard Roxburgh is the DukeThis DVD set has a wealth of extras enough to keep anyone occupied for hours and there are many many hidden extras for those who like hunting The sound and picture quality are superb This is a movie that seems to arouse strong emotions people either love it or hate it but no one seems indifferent to it,5,magical,1073520000,"01 8, 2004",cinema son see film thank long time style film extreme camera work leave nevertheless film first frame last basic love story courtesan Satine penniless writer Meanwhile rich possess costMoulin vibrant kaleidoscope colour movement music just work really clever scene perform version hilarious many wellknown film new slant unique wayThe main screen chemistry relationship believable singnot something prior owner set wealth enough keep anyone many many sound picture quality movie arouse strong either love hate one indifferent 
A3R4ZEDVRUWJNO,B00005JLR8,Mark,"[4, 4]",Many reviewers on this site have said that they would want to see a film that focuses on the hardships and extremes that immigrants face when coming to the United States  To this I respond Weve seen that hundreds of times in films  The same goes for sports films  Weve seen the movie Glory Road in other films like Coach Carter Remember the Titans and Hoosiers  They are exactly the same movie with a different team  Thats not to say that these films arent decent sports flicks but the film industry needs to take a step back when making a film that has the potential to be just like every other film in its genreThat being said that is exactly what Jim Sheridan does with In America  The story is so original and the acting makes this film a glorious triumph  The basic story follows a family of Irish immigrants who come to America with the same notion that all immigrants have to attain the American Dream  But as they all sooner or later find out the American Dream is an ideology that  of people never attain  They have trouble finding a place to stay and end up with an apartment at the top of a run down building with many of its residents being junkies  The father Johnny Paddy Considine is a struggling actor who hasnt been able to get a part since the death of his son Frankie who fell down the stairs  The mother Sarah Samantha Morton takes a job at an ice cream parlor to earn the rent money  The oldest daughter Christy Sarah Bolger is probably one of the smarter people in the film and Sarah Bolger gives a flawless performance for such a young girl  She is the stereotype of the oldest child who is forced to grow up too soon  Her younger sister Ariel played by Sarah Bolgers younger sister Emma is the typical naive little girl who asks fifty questions about everythingThere are some really touching scenes throughout the course of the film one especially comes to mind where the father almost squanders away all of the familys money trying to win an ET doll for the youngest daughter  There are essentially three miracles in the film and Christy who is also the narrator relates these three events to a set of three wishes that her brother Frankie told her about before he died  The other great scenes in the film involve the family and their relationship to the man on one of the floors below  When they first arrive in the house Christy calls him the man who screams  This mans name is Mateo played brilliantly by Djimon Hounsou and he is a brilliant artist with quite a bit of emotional problems  He is sort of the figure of morality in the film often giving out endless amounts of advice  Mateo has some sort of disease we can only expect that it is probably a venerial disease and he gets sick throughout the movieIn America features one of the best ensembles I have ever seen  Every actor is perfect in every scene  Djimon Hounsou and Paddy Considine give the best performances in the entire film and Jim Sheridan wrote and directed every gorgeous shot of the film  While I do agree with one other reviewer about how Christy has a modern camera in a story set in the eighties stupid facts like these should not detract from the overall message of the film  The overall message then is not just about how immigrants face hardships when they come to America we already know that from previous films andor experiences  The film has such a deeper message relating not just to immigrants but to every person who watches this film  I really do not want to give the message away but rather I will leave it up to you to go rent or buy this treasure of a film  This is truly one of the most unforgettable movies I have ever seen,5,One of the Best Movies I've Seen In a Long Time,1143763200,"03 31, 2006",Many site want see film same movie other exactly same movie different team not say decent film industry take step back film potential be just other film genreThat exactly story so original acting film glorious triumph basic story family Irish same notion attain American later find American ideology never trouble place stay end apartment top many father actor able get part death son down mother job ice cream parlor earn rent money daughter probably smarter film flawless performance young girl stereotype child grow too soon sister sister typical naive little girl fifty really touching course film especially mind father almost familys money win doll daughter essentially film also narrator set brother other great film family relationship man first house man name brilliantly brilliant artist bit emotional sort figure morality film often endless advice sort disease only expect probably venerial disease sick movieIn ever actor perfect scene give entire film gorgeous shot film agree other reviewer modern camera story stupid not detract overall message film overall message then not just already previous andor film message not just person film really not want give message away rather leave go rent buy treasure film truly unforgettable ever 
A21V3KV5M6UESN,6303568203,"E. Kanard ""bewitchingdiva""","[3, 4]",We looooooooooooooooooooooooooved this when we st saw it in the s  we love it now,5,V,1196812800,"12 5, 2007",s now 
A1TV5FU0WXFSBI,630310245X,Amazon Customer,"[13, 14]",I had no idea I would like this movie so much Its not the standard run of the mill film that everybody would like but its incredibly nonjudgmental and sweet I like that movies can show the best sides of human nature and develop a male character who is so extremely nonjudgmental of a woman and her human frailty particularly for the time the film was producedIn addition to the quality story line the chemistry between the two lead characters is amazingly good I have seen Cary Grant with his other onscreen ladies and he does not always create a heat wave when hes in his romantic element Oh hes charming al right But he doesnt really appear to be interested in his leading ladies all that much But in this movie he seemed to be interested and the chemistry was more than evidentGood movie,5,Good Morals-Believable Chemistry,1068076800,"11 6, 2003",idea like movie so much not standard run mill film everybody like incredibly nonjudgmental sweet show human nature develop male character so extremely nonjudgmental woman human frailty particularly time film producedIn addition quality story line chemistry lead amazingly good other onscreen not always create heat wave romantic element al right really appear be interested leading that much movie be interested chemistry evidentGood movie 
A3N41J32WHCH8D,B005STRK4W,"Vic ""Vic""","[3, 3]",If i could go back in time i would have lived next door Real america came from these areasGreed and politics has destroyed this lifestyle,5,Priceless,1362009600,"02 28, 2013",i go back time i have next door america lifestyle 
A1RXOMZTOSAP1O,6302481872,Mary Bryant,"[2, 2]",Watching Patricia Walden in the amazing introduction gave me goosebumps  I was a little scared that she was going to make me try it with her  This was a gift to me from a friend  I was very hesitant to even try Yoga because of my Christian background  My friend sent two DVDs on Yoga to me because of my horrible battle with degenerative arthritis  She said that it would help and it hasI found that Patricia Walden was very pleasant  The sessions were not easy  The fact that I have been working out for many years made it a little easier for me but I still had a week of very sore muscles  I thought I was flexible until I saw Patricia  The advise I give anyone who is new to working out is that you need to respect and honor your limitations  I love to feel the sensation of going a little past my comfort zone but I never will be able to do every move exactly like Patricia  I cannot put my bottom on my feet  My knee joint is not good but I adjust my poses to honor my body  Brian Krest said it this way There is no perfect pose  Just find a place of sensation and hang out with it  I personally have an easier time with the backbend session than the forward bend session  I found out that my hamstrings and hip flexors are tightThis is a really good DVD I dont use it as often as some of the newer ones but I still do like it  It never makes me feel uncomfortable as far as my Christian convictions go,5,My first Yoga DVD,1179964800,"05 24, 2007",amazing introduction goosebumps little scared make try gift friend very hesitant even try Christian background friend horrible battle degenerative arthritis help very pleasant not easy fact many little still week very sore flexible advise anyone new respect honor feel sensation little past comfort zone never be able do move exactly not put bottom knee joint not good honor body way perfect pose find place sensation personally time backbend session forward bend session hip tightThis really good use as often still never feel uncomfortable as far Christian 
A2GVHAGNCD32PV,B001MYIQKO,Sean Bison,"[1, 4]",Cant wait for this to come out on DVD Just watched it the other night and was totally blown away One of the best programs on our known Universe I have ever seen and Ive seen them all Alec Baldwin voiceover was a nice touch but the visuals are simply amazing and will give you goosebumps,5,Mesmerizing!,1228780800,"12 9, 2008",Cant wait come other night totally away known Universe ever voiceover nice touch simply amazing give goosebumps 
ASRGSNWAT1DT6,B0038M2APA,Scouting dad,"[0, 0]",One of my college age sons encouraged me to watch Justified I was reluctant to watch another cop show at first but now we are hooked The main character Raylan is full of flaws often loses his battles but still tries to do the right thing Set in the backwoods of rural Kentucky the story line centers around rural town life distrust of strangers and long standing family feuds The stories are well written and the acting is great  its easy to think the actors are really just the people in the story Not for kids given the language violence and adult themes We are finishing season  and cant wait to see how the story progresses over the next few seasons,5,New twist on a cop show,1370995200,"06 12, 2013",college age watch reluctant watch cop show first now main character full often still do right thing rural story line rural town life distrust long family well acting great easy think really just story Not language violence adult season cant wait see story next few 
A3328WR0QVWPO3,6302797462,P.Ilou,"[1, 5]",The BW movie is an invitation to read the  book since the movie can only show and say so much Some more risky topicsmoral issues in a men only campprison are only alluded to in the movie The movie would be autobiographical Marlowe role author Clavell from my understanding Some images depicting rows of open air sitting boxes with lids at the beginning are very strongweird and suck us in to see the rest despite the BW only and still at the end I am not sure what they were latrines or   Many innuendos Movie need to be seen more than once BUT since it is somewhat depressing I will probably give it to another WW buff before watching it again As an MD I found the movie interesting Possible spoiler so Rat did not mean stooler or has that question deliberately not been answered in the movie explain the radio discovery The music is very specialinterestingtouching and contributes to a mysterious atmosphere of the movie IMHO Tempo is slow at times probably like in the camp Can not not make a mental link with The Hill also in BW psychological drama with British military although the stories are dissimilar otherwise,3,An invitation to read the original book,1316390400,"09 19, 2011",movie invitation read book movie only show say so much risky topicsmoral only campprison only movie movie be autobiographical role author open air beginning very strongweird suck see rest only still end not sure Many innuendos need be once somewhat depressing probably give buff again movie Possible spoiler so not mean stooler question deliberately not movie radio discovery music very specialinterestingtouching mysterious atmosphere movie slow probably camp not not make mental link also psychological drama British military dissimilar otherwise 
A3GS9I2NBCL0DY,B001HN68ZU,"FOXY ""fox nurse""","[13, 17]",I WAS PLEASANTLY SURPRISED OF THE DEPTH AND HONESTY PORTRAYED IN THIS MOVIE CONCERNING TROUBLED MARRIAGES AND THE SOLUTIONS PROVIDED IN HEALING THE WOUNDS AND REBUILDING A MORE SOLID FOUNDATION THE MOVIE WAS GREATLY AFFECTIVE WITHOUT THE USE OF ANY FOUL LANGUAGE I THINK EVERY HOME OUGHT TO HAVE THE MOVIE AND THE PRINCIPLES BE USED REGULARLY TO MAINTAIN A HAPPY AND HEALTHY RELATIONSHIPMARRIAGE ID LOVE TO SEE MORE MOVIES MADE WITH THE HEALTHY PRICIPLES OF LIFE USED TO ENHANCE ALL AREAS OF LIFE IERELATIONSHIPS IN THE HOME WORK ETC AND IN FRIENDSHIPSWHEN THE MOVIE FINALLY REACHED OUR AREA IN THE MOVIE THEATERS IT WAS RUN FOR ONE WEEK WHAT A DISSPPOINTMENT,5,A REALISTIC APPROACH TO RELATIONSHIPS,1243036800,"05 23, 2009",
